,id,Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит
25,215373,Снизилась,премиум,нет,3.8,3,811,0.9,Товары для детей,2,5,5,3
26,215374,Снизилась,стандарт,нет,2.9,5,268,0.98,Домашний текстиль,6,3,2,2
27,215375,Снизилась,премиум,да,3.0,4,558,0.89,Товары для детей,3,3,7,4
28,215376,Снизилась,стандарт,да,2.4,3,534,0.98,Домашний текстиль,4,1,5,4
29,215377,Снизилась,стандарт,да,4.6,4,730,0.27,Товары для детей,2,5,8,5
30,215378,Снизилась,стандарт,да,1.7,3,488,0.39,Техника для красоты и здоровья,5,1,4,3
31,215379,Снизилась,стандарт,нет,3.4,4,436,0.98,Товары для детей,3,0,3,5
32,215380,Снизилась,премиум,нет,1.7,4,637,0.94,Техника для красоты и здоровья,3,2,4,7
33,215381,Снизилась,стандарт,да,3.6,5,554,0.33,Домашний текстиль,6,1,6,5
34,215382,Снизилась,стандарт,да,4.6,4,330,0.89,Техника для красоты и здоровья,6,2,7,6
35,215383,Снизилась,стандарт,да,2.7,4,504,0.33,Техника для красоты и здоровья,2,4,2,4
36,215384,Снизилась,стандарт,да,4.0,4,1020,0.34,Косметика и аксесуары,2,3,8,3
37,215385,Снизилась,стандарт,да,3.6,4,721,0.24,Домашний текстиль,5,3,4,4
38,215386,Снизилась,стандарт,да,1.5,3,495,0.98,Домашний текстиль,2,3,7,5
39,215387,Снизилась,стандарт,да,4.6,3,135,0.32,Косметика и аксесуары,5,0,3,4
40,215388,Снизилась,стандарт,да,3.5,4,663,0.99,Домашний текстиль,4,2,2,2
41,215389,Снизилась,премиум,да,4.1,3,1047,0.93,Товары для детей,5,2,3,7
42,215390,Снизилась,стандарт,да,3.1,4,152,0.33,Косметика и аксесуары,6,4,2,5
43,215391,Снизилась,премиум,да,3.5,3,754,0.3,Косметика и аксесуары,3,1,2,1
44,215392,Снизилась,премиум,да,3.9,3,525,0.28,Кухонная посуда,5,0,4,4
45,215393,Снизилась,стандарт,нет,4.6,4,169,0.93,Техника для красоты и здоровья,2,1,3,7
46,215394,Снизилась,стандарт,да,3.0,5,966,0.3,Товары для детей,3,1,2,4
47,215395,Снизилась,премиум,да,1.5,5,645,0.27,Товары для детей,3,3,6,5
48,215396,Снизилась,стандарт,да,3.4,5,706,0.22,Домашний текстиль,2,3,8,4
49,215397,Снизилась,стандарт,да,4.2,3,689,0.31,Домашний текстиль,4,2,2,3
50,215398,Снизилась,премиум,да,3.5,5,882,0.22,Мелкая бытовая техника и электроника,3,2,6,3
51,215399,Снизилась,премиум,да,4.1,4,1007,0.3,Товары для детей,4,5,3,6
52,215400,Снизилась,стандарт,нет,4.4,5,304,0.94,Товары для детей,1,4,3,2
53,215401,Снизилась,премиум,да,3.4,5,339,0.3,Косметика и аксесуары,2,3,3,4
54,215402,Снизилась,премиум,да,3.0,5,954,0.93,Товары для детей,3,2,4,6
55,215403,Снизилась,премиум,да,1.7,5,771,0.39,Техника для красоты и здоровья,1,8,2,5
56,215404,Снизилась,стандарт,да,2.4,3,699,0.94,Домашний текстиль,4,1,2,3
57,215405,Снизилась,стандарт,да,3.0,3,669,0.34,Кухонная посуда,4,2,5,4
58,215406,Снизилась,стандарт,да,2.4,5,511,0.3,Товары для детей,3,2,4,6
59,215407,Снизилась,премиум,да,2.4,4,974,0.35,Домашний текстиль,4,3,4,6
60,215408,Снизилась,премиум,да,2.4,3,666,0.98,Кухонная посуда,3,5,1,2
61,215409,Снизилась,премиум,да,1.4,4,857,0.95,Кухонная посуда,3,4,5,5
62,215410,Снизилась,стандарт,да,3.0,3,1048,0.89,Товары для детей,4,5,3,1
63,215411,Снизилась,стандарт,да,1.7,4,756,0.33,Товары для детей,2,3,7,4
64,215412,Снизилась,премиум,да,2.9,3,506,0.9,Товары для детей,1,5,3,4
65,215413,Снизилась,премиум,да,4.0,3,759,0.23,Косметика и аксесуары,1,4,5,5
66,215414,Снизилась,премиум,да,4.0,4,768,0.32,Кухонная посуда,2,8,4,4
67,215415,Снизилась,стандарт,да,2.4,3,720,0.32,Домашний текстиль,2,6,3,3
68,215416,Снизилась,стандарт,да,4.2,4,219,0.24,Товары для детей,2,5,7,8
69,215417,Снизилась,премиум,да,4.1,5,377,0.24,Товары для детей,3,2,2,3
70,215418,Снизилась,стандарт,нет,1.7,4,472,0.94,Домашний текстиль,2,6,4,3
71,215419,Снизилась,премиум,да,3.4,4,806,0.93,Домашний текстиль,3,5,8,6
72,215420,Снизилась,стандарт,да,3.5,5,449,0.35,Домашний текстиль,1,9,2,2
73,215421,Снизилась,премиум,нет,4.0,5,523,0.94,Техника для красоты и здоровья,1,10,7,5
74,215422,Снизилась,стандарт,да,4.2,4,503,0.25,Товары для детей,2,3,1,6
75,215423,Снизилась,стандарт,да,3.5,4,515,0.29,Косметика и аксесуары,1,4,4,1
76,215424,Снизилась,премиум,да,3.8,3,813,0.36,Домашний текстиль,3,3,2,2
77,215425,Снизилась,стандарт,да,4.1,4,249,0.28,Кухонная посуда,2,6,1,4
78,215426,Снизилась,премиум,да,2.7,4,829,0.22,Косметика и аксесуары,3,5,4,5
79,215427,Снизилась,стандарт,нет,2.4,4,186,0.4,Косметика и аксесуары,3,6,7,6
80,215428,Снизилась,стандарт,нет,4.0,3,336,0.9,Домашний текстиль,2,7,2,6
81,215429,Снизилась,премиум,нет,0.9,4,690,0.24,Домашний текстиль,2,5,7,4
82,215430,Снизилась,стандарт,да,2.9,4,824,0.29,Кухонная посуда,2,2,5,3
83,215431,Снизилась,премиум,да,3.9,4,666,0.21,Кухонная посуда,3,3,6,7
84,215432,Снизилась,стандарт,нет,4.1,4,377,0.24,Товары для детей,3,3,2,1
85,215433,Снизилась,стандарт,да,4.0,4,753,0.89,Товары для детей,2,8,3,2
86,215434,Снизилась,стандарт,да,3.9,4,674,0.21,Домашний текстиль,3,5,7,6
87,215435,Снизилась,премиум,да,4.8,4,875,0.35,Товары для детей,2,2,5,9
88,215436,Снизилась,стандарт,да,4.6,3,844,0.93,Товары для детей,3,8,4,2
89,215437,Снизилась,премиум,да,2.4,3,602,0.32,Косметика и аксесуары,2,5,3,3
90,215438,Снизилась,стандарт,да,4.0,5,855,0.3,Кухонная посуда,2,6,2,7
91,215439,Снизилась,премиум,нет,3.4,5,448,0.28,Товары для детей,4,2,2,7
92,215440,Снизилась,стандарт,нет,3.8,5,344,0.4,Товары для детей,3,3,8,3
93,215441,Снизилась,стандарт,да,4.1,4,922,0.29,Товары для детей,6,7,1,5
94,215442,Снизилась,стандарт,да,2.4,4,298,0.89,Домашний текстиль,6,3,2,3
95,215443,Снизилась,премиум,да,3.1,4,893,0.24,Кухонная посуда,2,4,3,2
96,215444,Снизилась,стандарт,да,3.1,5,881,0.29,Кухонная посуда,3,5,2,2
97,215445,Снизилась,стандарт,нет,4.0,5,372,0.99,Косметика и аксесуары,1,6,6,5
98,215446,Снизилась,стандарт,да,3.5,4,788,0.32,Техника для красоты и здоровья,3,3,4,3
99,215447,Снизилась,стандарт,да,2.4,5,511,0.94,Товары для детей,3,2,3,3
100,215448,Снизилась,премиум,да,4.6,4,974,0.94,Домашний текстиль,4,3,3,7
101,215449,Снизилась,премиум,да,2.4,3,666,0.39,Кухонная посуда,3,5,2,3
102,215450,Снизилась,премиум,да,5.6,4,857,0.36,Кухонная посуда,3,4,6,5
103,215451,Снизилась,стандарт,да,3.9,3,1048,0.22,Товары для детей,4,5,4,5
104,215452,Снизилась,стандарт,да,3.8,4,756,0.9,Товары для детей,2,3,6,4
105,215453,Снизилась,премиум,да,2.4,3,506,0.22,Товары для детей,1,5,4,3
106,215454,Снизилась,премиум,да,4.6,3,759,0.36,Косметика и аксесуары,1,4,8,5
107,215455,Снизилась,премиум,да,4.0,3,937,0.22,Косметика и аксесуары,2,4,3,4
108,215456,Снизилась,стандарт,да,1.7,4,449,0.23,Косметика и аксесуары,3,4,4,5
109,215457,Снизилась,премиум,нет,4.6,5,764,0.32,Товары для детей,2,5,6,4
110,215458,Снизилась,стандарт,да,4.4,3,851,0.32,Косметика и аксесуары,3,3,4,6
111,215459,Снизилась,премиум,да,4.1,4,768,0.94,Кухонная посуда,2,8,7,6
112,215460,Снизилась,стандарт,да,3.5,3,720,0.3,Домашний текстиль,2,6,4,2
113,215461,Снизилась,стандарт,да,5.6,4,219,0.39,Товары для детей,2,5,2,1
114,215462,Снизилась,премиум,да,5.6,5,377,0.36,Товары для детей,3,2,5,3
115,215463,Снизилась,стандарт,нет,3.1,4,472,0.99,Домашний текстиль,2,6,3,3
116,215464,Снизилась,премиум,да,2.4,4,806,0.25,Домашний текстиль,3,5,3,8
117,215465,Снизилась,стандарт,да,3.5,5,449,0.28,Домашний текстиль,1,9,2,2
118,215466,Снизилась,премиум,нет,2.4,5,523,0.3,Техника для красоты и здоровья,1,10,1,4
119,215467,Снизилась,стандарт,да,4.4,4,503,0.9,Мелкая бытовая техника и электроника,2,3,3,3
120,215468,Снизилась,стандарт,да,2.7,4,515,0.94,Косметика и аксесуары,1,4,2,2
121,215469,Снизилась,премиум,да,4.1,3,813,0.22,Домашний текстиль,3,3,4,5
122,215470,Снизилась,стандарт,да,3.9,4,249,0.93,Кухонная посуда,2,6,4,2
123,215471,Снизилась,премиум,да,3.8,4,829,0.3,Косметика и аксесуары,3,5,6,6
124,215472,Снизилась,стандарт,нет,2.4,4,186,0.93,Косметика и аксесуары,3,6,3,4
125,215473,Снизилась,стандарт,нет,4.1,3,336,0.22,Домашний текстиль,2,7,2,3
126,215474,Снизилась,премиум,нет,3.5,4,690,0.24,Домашний текстиль,2,5,8,5
127,215475,Снизилась,стандарт,да,4.8,4,824,0.33,Кухонная посуда,2,2,2,3
128,215476,Снизилась,премиум,да,3.1,4,666,0.39,Кухонная посуда,3,3,2,2
129,215477,Снизилась,стандарт,нет,1.7,4,377,0.23,Товары для детей,3,3,5,6
130,215478,Снизилась,стандарт,да,4.1,4,753,0.24,Товары для детей,2,8,2,2
131,215479,Снизилась,стандарт,да,3.4,4,674,0.28,Домашний текстиль,3,5,2,3
132,215480,Снизилась,премиум,да,4.4,4,875,0.94,Товары для детей,2,2,8,5
133,215481,Снизилась,стандарт,да,3.8,3,844,0.93,Товары для детей,3,8,4,2
134,215482,Снизилась,премиум,да,2.7,3,602,0.25,Косметика и аксесуары,2,5,5,2
135,215483,Снизилась,стандарт,да,3.9,5,855,0.99,Кухонная посуда,2,6,7,6
136,215484,Снизилась,премиум,нет,2.9,5,448,0.23,Товары для детей,4,2,6,3
137,215485,Снизилась,стандарт,да,3.5,4,720,0.99,Косметика и аксесуары,1,2,4,7
138,215486,Снизилась,премиум,да,3.5,4,1021,0.35,Косметика и аксесуары,2,4,3,5
139,215487,Снизилась,стандарт,да,4.8,3,627,0.98,Косметика и аксесуары,5,2,6,5
140,215488,Снизилась,стандарт,да,4.1,4,748,0.93,Кухонная посуда,3,4,2,4
141,215489,Снизилась,стандарт,нет,3.6,5,344,0.98,Товары для детей,3,3,4,4
142,215490,Снизилась,стандарт,да,4.1,4,922,0.35,Товары для детей,6,7,1,5
143,215491,Снизилась,стандарт,да,1.7,4,298,0.39,Домашний текстиль,6,3,6,4
144,215492,Снизилась,премиум,да,3.9,4,893,0.29,Кухонная посуда,2,4,3,6
145,215493,Снизилась,стандарт,да,4.0,5,881,0.99,Кухонная посуда,3,5,6,5
146,215494,Снизилась,стандарт,нет,5.6,5,372,0.23,Косметика и аксесуары,1,6,2,3
147,215495,Снизилась,стандарт,да,0.9,4,788,0.98,Техника для красоты и здоровья,3,3,3,3
148,215496,Снизилась,премиум,да,4.0,4,684,0.4,Техника для красоты и здоровья,1,6,2,4
149,215497,Снизилась,премиум,да,5.6,5,719,0.28,Мелкая бытовая техника и электроника,1,2,7,1
150,215498,Снизилась,стандарт,нет,3.4,4,891,0.35,Товары для детей,2,2,4,5
151,215499,Снизилась,стандарт,да,3.4,4,842,0.89,Техника для красоты и здоровья,2,8,8,3
152,215500,Снизилась,стандарт,да,3.5,4,573,0.4,Косметика и аксесуары,2,4,1,4
153,215501,Снизилась,премиум,да,3.5,3,1057,0.35,Домашний текстиль,4,3,5,6
154,215502,Снизилась,стандарт,да,3.1,4,342,0.98,Кухонная посуда,2,7,5,3
155,215503,Снизилась,стандарт,да,2.4,5,638,0.24,Домашний текстиль,1,5,2,1
156,215504,Снизилась,стандарт,да,3.4,5,458,0.9,Товары для детей,2,4,2,2
157,215505,Снизилась,стандарт,да,4.4,4,254,0.31,Товары для детей,2,3,5,3
158,215506,Снизилась,стандарт,нет,3.0,5,600,0.31,Домашний текстиль,1,7,5,4
159,215507,Снизилась,стандарт,да,3.8,3,871,0.32,Техника для красоты и здоровья,2,4,6,7
160,215508,Снизилась,стандарт,да,3.5,5,574,0.22,Домашний текстиль,3,2,2,2
161,215509,Снизилась,премиум,да,4.0,5,982,0.94,Мелкая бытовая техника и электроника,3,1,2,6
162,215510,Снизилась,стандарт,да,3.8,4,324,0.22,Техника для красоты и здоровья,2,7,2,2
163,215511,Снизилась,стандарт,да,3.9,5,373,0.33,Домашний текстиль,1,4,4,6
164,215512,Снизилась,стандарт,да,0.9,3,839,0.4,Косметика и аксесуары,3,3,7,7
165,215513,Снизилась,премиум,нет,3.4,4,845,0.22,Домашний текстиль,2,7,7,5
166,215514,Снизилась,премиум,да,1.5,4,475,0.21,Косметика и аксесуары,2,3,8,3
167,215515,Снизилась,стандарт,нет,4.0,3,509,0.94,Косметика и аксесуары,2,6,4,6
168,215516,Снизилась,стандарт,нет,4.4,4,252,0.98,Косметика и аксесуары,3,4,2,1
169,215517,Снизилась,премиум,нет,4.0,3,820,0.32,Косметика и аксесуары,4,4,2,5
170,215518,Снизилась,премиум,да,3.4,5,744,0.28,Товары для детей,3,2,2,6
171,215519,Снизилась,премиум,да,3.1,5,824,0.94,Товары для детей,2,2,4,4
172,215520,Снизилась,стандарт,нет,4.1,3,511,0.3,Кухонная посуда,2,6,4,6
173,215521,Снизилась,премиум,нет,1.5,3,541,0.9,Товары для детей,2,4,4,5
174,215522,Снизилась,премиум,да,2.9,3,1079,0.3,Товары для детей,4,5,5,9
175,215523,Снизилась,премиум,да,3.5,4,900,0.4,Кухонная посуда,2,3,9,6
176,215524,Снизилась,стандарт,да,3.0,3,474,0.23,Техника для красоты и здоровья,1,10,4,2
177,215525,Снизилась,стандарт,да,3.0,4,558,0.32,Товары для детей,1,2,4,1
178,215526,Снизилась,стандарт,да,3.1,4,572,0.29,Домашний текстиль,1,8,8,5
179,215527,Снизилась,премиум,да,4.1,5,957,0.94,Товары для детей,3,0,5,4
180,215528,Снизилась,стандарт,да,4.4,4,773,0.98,Мелкая бытовая техника и электроника,3,3,8,6
181,215529,Снизилась,стандарт,нет,3.5,5,717,0.35,Товары для детей,2,6,7,3
182,215530,Снизилась,стандарт,да,3.9,5,508,0.4,Домашний текстиль,1,6,3,3
183,215531,Снизилась,стандарт,да,4.2,4,184,0.34,Кухонная посуда,1,6,4,2
184,215532,Снизилась,стандарт,да,4.1,4,828,0.35,Товары для детей,3,4,4,7
185,215533,Снизилась,стандарт,да,4.2,4,944,0.35,Домашний текстиль,2,0,5,7
186,215534,Снизилась,премиум,нет,4.0,4,419,0.93,Товары для детей,1,9,3,3
187,215535,Снизилась,стандарт,нет,2.6,3,302,0.31,Товары для детей,2,1,1,7
188,215536,Снизилась,стандарт,нет,3.8,3,898,0.4,Кухонная посуда,3,6,2,5
189,215537,Снизилась,премиум,да,3.9,4,705,0.99,Косметика и аксесуары,3,3,7,4
190,215538,Снизилась,премиум,да,1.5,5,788,0.89,Товары для детей,1,4,4,4
191,215539,Снизилась,стандарт,да,2.4,4,953,0.4,Товары для детей,4,3,3,4
192,215540,Снизилась,премиум,да,1.4,5,355,0.33,Мелкая бытовая техника и электроника,1,1,5,5
193,215541,Снизилась,стандарт,нет,4.4,4,616,0.27,Товары для детей,1,7,4,2
194,215542,Снизилась,стандарт,нет,3.4,4,622,0.28,Косметика и аксесуары,3,1,4,4
195,215543,Снизилась,премиум,нет,1.5,5,335,0.21,Товары для детей,2,0,5,3
196,215544,Снизилась,стандарт,да,2.4,4,1025,0.4,Кухонная посуда,3,2,5,6
197,215545,Снизилась,стандарт,да,4.6,4,755,0.94,Кухонная посуда,3,7,5,5
198,215546,Снизилась,стандарт,да,4.0,4,549,0.31,Товары для детей,4,3,2,4
199,215547,Снизилась,премиум,нет,2.6,3,308,0.89,Домашний текстиль,2,8,6,5
200,215548,Снизилась,стандарт,да,3.5,4,903,0.35,Кухонная посуда,3,1,3,4
201,215549,Снизилась,премиум,да,2.6,3,683,0.28,Товары для детей,1,5,3,6
202,215550,Снизилась,премиум,да,3.0,4,434,0.24,Косметика и аксесуары,1,8,3,2
203,215551,Снизилась,премиум,да,2.6,3,983,0.21,Косметика и аксесуары,4,2,2,7
204,215552,Снизилась,стандарт,да,0.9,4,624,0.89,Косметика и аксесуары,1,9,5,1
205,215553,Снизилась,стандарт,да,0.9,4,360,0.33,Домашний текстиль,2,3,3,5
206,215554,Снизилась,стандарт,да,3.4,3,1017,0.35,Кухонная посуда,3,5,2,7
207,215555,Снизилась,стандарт,нет,4.1,5,348,0.89,Товары для детей,2,2,4,2
208,215556,Снизилась,стандарт,нет,2.7,4,742,0.39,Товары для детей,2,2,3,5
209,215557,Снизилась,премиум,да,4.1,4,770,0.28,Домашний текстиль,3,2,2,6
210,215558,Снизилась,стандарт,да,4.6,5,867,0.25,Кухонная посуда,2,6,3,5
211,215559,Снизилась,стандарт,да,4.4,3,701,0.3,Косметика и аксесуары,4,2,4,4
212,215560,Снизилась,стандарт,да,3.9,4,589,0.35,Товары для детей,2,6,4,3
213,215561,Снизилась,стандарт,нет,2.4,4,527,0.28,Косметика и аксесуары,2,7,4,3
214,215562,Снизилась,премиум,да,2.4,5,692,0.35,Домашний текстиль,1,7,1,2
215,215563,Снизилась,премиум,да,3.9,5,956,0.35,Косметика и аксесуары,2,2,6,7
216,215564,Снизилась,стандарт,нет,3.9,3,618,0.24,Техника для красоты и здоровья,2,10,3,5
217,215565,Снизилась,стандарт,нет,2.4,4,522,0.99,Кухонная посуда,2,5,4,4
218,215566,Снизилась,премиум,да,2.4,4,785,0.24,Товары для детей,3,1,3,6
219,215567,Снизилась,стандарт,да,3.4,3,853,0.24,Домашний текстиль,2,6,5,4
220,215568,Снизилась,премиум,да,4.0,5,1073,0.4,Товары для детей,4,2,3,3
221,215569,Снизилась,премиум,да,5.6,3,953,0.93,Косметика и аксесуары,2,1,3,6
222,215570,Снизилась,премиум,да,3.1,4,808,0.28,Косметика и аксесуары,3,2,3,6
223,215571,Снизилась,стандарт,да,4.8,5,483,0.39,Косметика и аксесуары,2,7,1,2
224,215572,Снизилась,стандарт,да,3.5,4,676,0.32,Техника для красоты и здоровья,3,7,3,3
225,215573,Снизилась,стандарт,да,4.1,4,706,0.99,Кухонная посуда,2,6,2,6
226,215574,Снизилась,премиум,да,3.0,4,951,0.22,Домашний текстиль,2,5,2,6
227,215575,Снизилась,стандарт,да,3.1,4,435,0.23,Кухонная посуда,3,0,7,2
228,215576,Снизилась,премиум,да,4.0,5,840,0.4,Косметика и аксесуары,3,1,5,5
229,215577,Снизилась,стандарт,да,3.9,3,564,0.93,Техника для красоты и здоровья,3,4,2,5
230,215578,Снизилась,стандарт,да,2.4,4,699,0.35,Мелкая бытовая техника и электроника,2,4,5,3
231,215579,Снизилась,стандарт,нет,3.6,3,710,0.36,Товары для детей,3,5,2,1
232,215580,Снизилась,премиум,да,4.4,4,966,0.28,Мелкая бытовая техника и электроника,3,3,2,4
233,215581,Снизилась,стандарт,да,4.0,3,171,0.25,Товары для детей,3,4,3,5
234,215582,Снизилась,стандарт,да,4.0,3,763,0.35,Товары для детей,3,3,2,3
235,215583,Снизилась,стандарт,нет,3.8,4,623,0.24,Домашний текстиль,1,7,5,4
236,215584,Снизилась,стандарт,нет,3.4,4,731,0.34,Косметика и аксесуары,3,2,6,2
237,215585,Снизилась,премиум,да,3.9,4,1044,0.3,Кухонная посуда,3,5,6,5
238,215586,Снизилась,премиум,да,4.1,4,557,0.94,Техника для красоты и здоровья,1,8,3,3
239,215587,Снизилась,премиум,да,4.6,4,800,0.93,Домашний текстиль,4,2,5,4
240,215588,Снизилась,стандарт,да,3.9,5,529,0.36,Домашний текстиль,2,6,2,1
241,215589,Снизилась,стандарт,да,4.8,5,574,0.27,Косметика и аксесуары,2,0,8,5
242,215590,Снизилась,стандарт,нет,2.4,4,427,0.29,Товары для детей,5,8,3,4
243,215591,Снизилась,стандарт,нет,5.6,4,631,0.4,Товары для детей,3,1,2,2
244,215592,Снизилась,премиум,да,4.6,4,486,0.22,Товары для детей,3,2,3,2
245,215593,Снизилась,премиум,нет,4.6,3,947,0.33,Товары для детей,6,8,3,5
246,215594,Снизилась,стандарт,да,4.2,4,627,0.9,Товары для детей,6,9,5,8
247,215595,Снизилась,стандарт,да,3.9,3,332,0.3,Домашний текстиль,2,5,5,1
248,215596,Снизилась,стандарт,да,1.5,4,684,0.9,Косметика и аксесуары,3,0,2,4
249,215597,Снизилась,стандарт,нет,4.4,5,868,0.4,Домашний текстиль,2,7,8,5
250,215598,Снизилась,премиум,да,3.0,3,449,0.89,Товары для детей,1,5,3,6
251,215599,Снизилась,стандарт,да,3.4,4,716,0.28,Домашний текстиль,2,9,4,6
252,215600,Снизилась,стандарт,да,2.4,4,446,0.29,Кухонная посуда,1,6,3,4
253,215601,Снизилась,премиум,да,0.9,4,468,0.23,Техника для красоты и здоровья,1,6,4,4
254,215602,Снизилась,премиум,да,3.5,4,1072,0.35,Техника для красоты и здоровья,3,7,5,5
255,215603,Снизилась,стандарт,да,1.4,4,556,0.33,Косметика и аксесуары,2,3,3,2
256,215604,Снизилась,стандарт,нет,3.1,5,458,0.99,Косметика и аксесуары,1,5,3,4
257,215605,Снизилась,премиум,да,3.9,4,637,0.24,Кухонная посуда,3,5,2,6
258,215606,Снизилась,стандарт,нет,3.5,5,428,0.3,Кухонная посуда,2,4,2,3
259,215607,Снизилась,премиум,да,3.0,3,862,0.94,Косметика и аксесуары,1,5,2,8
260,215608,Снизилась,премиум,нет,3.5,3,816,0.35,Косметика и аксесуары,3,2,3,5
261,215609,Снизилась,премиум,да,3.8,5,636,0.94,Косметика и аксесуары,3,2,6,3
262,215610,Снизилась,стандарт,да,4.6,4,684,0.25,Товары для детей,3,4,4,6
263,215611,Снизилась,стандарт,да,3.9,3,519,0.4,Товары для детей,1,8,3,5
264,215612,Снизилась,премиум,нет,4.4,3,255,0.94,Домашний текстиль,3,5,7,7
265,215613,Снизилась,стандарт,да,4.4,4,627,0.93,Техника для красоты и здоровья,3,7,3,4
266,215614,Снизилась,стандарт,да,4.0,3,952,0.22,Кухонная посуда,4,5,1,5
267,215615,Снизилась,стандарт,да,2.4,4,205,0.28,Кухонная посуда,1,5,4,2
268,215616,Снизилась,стандарт,нет,4.0,5,862,0.25,Товары для детей,2,7,6,5
269,215617,Снизилась,стандарт,да,0.9,4,728,0.9,Домашний текстиль,2,3,2,4
270,215618,Снизилась,стандарт,нет,4.1,5,657,0.35,Товары для детей,2,6,2,4
271,215619,Снизилась,премиум,да,4.8,3,789,0.28,Косметика и аксесуары,2,4,3,3
272,215620,Снизилась,премиум,да,1.7,4,704,0.32,Косметика и аксесуары,1,6,3,4
273,215621,Снизилась,премиум,да,3.5,3,1076,0.22,Кухонная посуда,4,3,3,7
274,215622,Снизилась,стандарт,нет,3.1,5,639,0.28,Косметика и аксесуары,2,5,4,4
275,215623,Снизилась,стандарт,да,3.4,4,519,0.9,Товары для детей,2,4,4,3
276,215624,Снизилась,премиум,нет,2.4,4,399,0.35,Косметика и аксесуары,2,4,3,3
277,215625,Снизилась,стандарт,да,4.1,4,464,0.94,Косметика и аксесуары,2,5,1,3
278,215626,Снизилась,стандарт,да,2.7,5,171,0.95,Товары для детей,1,1,2,2
279,215627,Снизилась,стандарт,да,4.0,3,451,0.89,Домашний текстиль,2,4,3,2
280,215628,Снизилась,стандарт,да,4.0,4,618,0.93,Товары для детей,3,5,2,2
281,215629,Снизилась,стандарт,да,4.0,3,627,0.4,Домашний текстиль,3,4,3,6
282,215630,Снизилась,стандарт,нет,3.8,3,388,0.21,Косметика и аксесуары,2,7,2,2
283,215631,Снизилась,стандарт,нет,4.6,5,345,0.28,Товары для детей,2,2,1,1
284,215632,Снизилась,премиум,да,4.0,3,933,0.24,Домашний текстиль,4,4,4,5
285,215633,Снизилась,премиум,да,4.4,4,693,0.3,Мелкая бытовая техника и электроника,2,2,3,2
286,215634,Снизилась,премиум,да,2.6,4,780,0.99,Косметика и аксесуары,2,7,3,6
287,215635,Снизилась,премиум,да,4.1,3,839,0.22,Домашний текстиль,4,1,5,6
288,215636,Снизилась,стандарт,да,3.5,5,749,0.3,Товары для детей,1,6,5,6
289,215637,Снизилась,стандарт,да,2.4,5,553,0.24,Кухонная посуда,3,3,1,2
